# NS machine codes
company	machineid	name
4	1245327	Den Helder Zuid
4	1245365	Beek-Elsloo
4	1245366	Beek-Elsloo
4	1246374	Alkmaar
4	1246412	Heerhugowaard
4	1246487	Anna Paulowna
4	1246488	Anna Paulowna
4	1249020	Rijswijk
4	1249023	Rijswijk
4	1249034	Den Haag HS
4	1249063	Nijmegen
4	1249076	Schiedam Centrum
4	1249079	Vlaardingen West
4	1249080	Vlaardingen West
4	1249081	Vlaardingen West
4	1249229	Den Haag HS
4	1253497	Schiphol
4	1253528	Den Haag Centraal
4	1253759	Den Haag Laan van NOI
4	1253796	Rotterdam Alexander
4	1253945	Nijmegen
4	1253957	Nijmegen
4	1253965	Anna Paulowna
4	1256356	Delft
4	1257804	Delft
4	1257805	Delft
4	1257876	Rotterdam Centraal
4	1258038	Rotterdam Blaak
4	1258223	Den Haag HS
4	1258239	Den Haag HS
4	1258243	Den Haag HS
4	1258245	Den Haag HS
4	1258249	Den Haag HS
4	1258251	Haarlem
4	1258260	Haarlem
4	1258318	Den Haag Centraal
#
# Check in/uit poortjes:
4	68479	Vlaardingen Oost
4	68480	Vlaardingen Oost
# NS Kaartautomaten:
4	460088	Rotterdam Centraal
4	460115	Rotterdam Blaak
4	460118	Rotterdam Blaak
4	460192	Amsterdam Centraal
4	460199	Delft
4	460207	Delft
4	460304	Anna Paulowna
4	460305	Anna Paulowna
4	460306	Beverwijk
4	460329	Heerhugowaard
4	460389	Beek-Elsloo
4	460390	Beek-Elsloo
4	460522	Haarlem Spaarnwoude
4	460722	Assen
4	460800	Nijmegen
4	460805	Nijmegen Dukenburg
4	460829	Delft
4	460830	Delft
4	460849	Den Haag Centraal
4	460856	Den Haag Centraal
4	460862	Den Haag HS
4	460863	Den Haag HS
4	460970	Hengelo
4	461025	Vlaardingen West
4	461101	Utrecht Centraal
4	480848	Den Haag Centraal
# Oplaadpunten
25	271194	Dio drogisterij Anna Paulowna
