# Association of machineids with vehicle ids, for those machines present on
# vehicles.
company	machineid	vehicleid
# Arriva
8	1247537	0771
8	1254067	0783
8	1254166	0767
8	1254178	0767
8	1254302	0783
# Connexxion
1	1311589	3653
1	1311747	8708
1	1311756	8973
1	1311794	0211
1	1312030	3601
1	1312060	3622
1	1312081	3643
1	1312293	8614
1	1312342	5746
1	1312658	9200
1	1312662	9204
1	1313357	3185
1	1313530	8961
1	1313805	8963
1	1313807	8965
1	1314054	8889
1	1314062	8897
1	1314107	8942
# GVB
2	1318919	2006
2	1318923	2016
2	1318936	2027
2	1318965	2064
# HTM
3	1312934	3040
3	1312949	3055
3	1312966	3072
3	1312973	3079
3	1312987	3093
3	1313025	3131
3	1313027	3133
3	1313033	3139
3	1313059	4018
3	1313076	4035
3	1313081	4036
# NS
4	1314075	8910
# Syntus
9	1249128	1508
9	1249190	5121
9	1249210	5126
9	1249221	5126
9	1249222	1519
9	1253398	1484
9	1260058	5132
9	1260379	5135
# TLS
0	1310850	3337
# Veolia
7	1245846	6668
7	1245955	6658
7	1255185	5451
7	1256448	5262
7	1256449	5831
7	1256834	5262
7	1256998	5262
7	1257113	5831
7	1257115	5833
7	1257156	5832
7	1257702	5116
7	1259058	5153
